[Set port X3 to mode: read-only]
READ > PTB330A_U4430842|P=1004.58|P1=1004.58|P2=1004.57|P3=1004.56|TP1= 26.01|TP2= 25.90|TP3= 25.91|ERR=000|CS=93\x0d\x0a
READ > PTB330A_U4430842|P=1004.58|P1=1004.59|P2=1004.58|P3=1004.57|TP1= 26.01|TP2= 25.89|TP3= 25.91|ERR=000|CS=9E\x0d\x0a
READ > PTB330A_U4430842|P=1004.58|P1=1004.57|P2=1004.56|P3=1004.54|TP1= 26.02|TP2= 25.88|TP3= 25.92|ERR=000|CS=98\x0d\x0a
READ > PTB330A_U4430842|P=1004.57|P1=1004.57|P2=1004.56|P3=1004.54|TP1= 26.02|TP2= 25.88|TP3= 25.91|ERR=000|CS=96\x0d\x0a
READ > PTB330A_U4430842|P=1004.57|P1=1004.56|P2=1004.56|P3=1004.55|TP1= 26.03|TP2= 25.89|TP3= 25.92|ERR=000|CS=99\x0d\x0a
READ > PTB330A_U4430842|P=1004.56|P1=1004.56|P2=1004.56|P3=1004.54|TP1= 26.02|TP2= 25.89|TP3= 25.91|ERR=000|CS=95\x0d\x0a
READ > PTB330A_U4430842|P=1004.56|P1=1004.56|P2=1004.55|P3=1004.55|TP1= 26.01|TP2= 25.89|TP3= 25.92|ERR=000|CS=95\x0d\x0a
READ > PTB330A_U4430842|P=1004.55|P1=1004.56|P2=1004.55|P3=1004.54|TP1= 26.00|TP2= 25.89|TP3= 25.91|ERR=000|CS=91\x0d\x0a
READ > PTB330A_U4430842|P=1004.55|P1=1004.55|P2=1004.54|P3=1004.53|TP1= 26.00|TP2= 25.90|TP3= 25.91|ERR=000|CS=86\x0d\x0a
READ > PTB330A_U4430842|P=1004.54|P1=1004.52|P2=1004.52|P3=1004.50|TP1= 26.00|TP2= 25.89|TP3= 25.91|ERR=000|CS=85\x0d\x0a
READ > PTB330A_U4430842|P=1004.53|P1=1004.53|P2=1004.53|P3=1004.52|TP1= 26.00|TP2= 25.89|TP3= 25.91|ERR=000|CS=88\x0d\x0a
READ > PTB330A_U4430842|P=1004.53|P1=1004.54|P2=1004.53|P3=1004.51|TP1= 26.01|TP2= 25.89|TP3= 25.91|ERR=000|CS=89\x0d\x0a
READ > PTB330A_U4430842|P=1004.52|P1=1004.53|P2=1004.53|P3=1004.52|TP1= 26.01|TP2= 25.88|TP3= 25.91|ERR=000|CS=87\x0d\x0a
READ > PTB330A_U4430842|P=1004.52|P1=1004.53|P2=1004.53|P3=1004.52|TP1= 26.01|TP2= 25.88|TP3= 25.90|ERR=000|CS=86\x0d\x0a
READ > PTB330A_U4430842|P=1004.52|P1=1004.52|P2=1004.51|P3=1004.51|TP1= 26.02|TP2= 25.88|TP3= 25.90|ERR=000|CS=83\x0d\x0a
READ > PTB330A_U4430842|P=1004.52|P1=1004.52|P2=1004.51|P3=1004.50|TP1= 26.02|TP2= 25.88|TP3= 25.90|ERR=000|CS=82\x0d\x0a
READ > PTB330A_U4430842|P=1004.52|P1=1004.53|P2=1004.52|P3=1004.51|TP1= 26.02|TP2= 25.89|TP3= 25.91|ERR=000|CS=87\x0d\x0a
READ > PTB330A_U4430842|P=1004.52|P1=1004.52|P2=1004.52|P3=1004.50|TP1= 26.02|TP2= 25.88|TP3= 25.91|ERR=000|CS=84\x0d\x0a
READ > PTB330A_U4430842|P=1004.51|P1=1004.52|P2=1004.51|P3=1004.51|TP1= 26.01|TP2= 25.88|TP3= 25.91|ERR=000|CS=82\x0d\x0a
READ > PTB330A_U4430842|P=1004.51|P1=1004.50|P2=1004.50|P3=1004.49|TP1= 26.01|TP2= 25.88|TP3= 25.91|ERR=000|CS=86\x0d\x0a
READ > PTB330A_U4430842|P=1004.51|P1=1004.52|P2=1004.51|P3=1004.50|TP1= 26.00|TP2= 25.88|TP3= 25.91|ERR=000|CS=80\x0d\x0a
READ > PTB330A_U4430842|P=1004.51|P1=1004.51|P2=1004.51|P3=1004.50|TP1= 26.00|TP2= 25.88|TP3= 25.91|ERR=000|CS=7F\x0d\x0a
READ > PTB330A_U4430842|P=1004.50|P1=1004.51|P2=1004.50|P3=1004.50|TP1= 26.00|TP2= 25.88|TP3= 25.91|ERR=000|CS=7D\x0d\x0a
READ > PTB330A_U4430842|P=1004.50|P1=1004.51|P2=1004.50|P3=1004.49|TP1= 26.00|TP2= 25.87|TP3= 25.91|ERR=000|CS=84\x0d\x0a
READ > PTB330A_U4430842|P=1004.50|P1=1004.49|P2=1004.49|P3=1004.48|TP1= 26.02|TP2= 25.88|TP3= 25.91|ERR=000|CS=95\x0d\x0a
READ > PTB330A_U4430842|P=1004.49|P1=1004.50|P2=1004.49|P3=1004.48|TP1= 26.02|TP2= 25.88|TP3= 25.91|ERR=000|CS=95\x0d\x0a
READ > PTB330A_U4430842|P=1004.49|P1=1004.50|P2=1004.49|P3=1004.49|TP1= 26.01|TP2= 25.88|TP3= 25.91|ERR=000|CS=95\x0d\x0a
READ > PTB330A_U4430842|P=1004.49|P1=1004.48|P2=1004.47|P3=1004.46|TP1= 26.00|TP2= 25.87|TP3= 25.90|ERR=000|CS=94\x0d\x0a
READ > PTB330A_U4430842|P=1004.49|P1=1004.50|P2=1004.49|P3=1004.48|TP1= 26.00|TP2= 25.87|TP3= 25.90|ERR=000|CS=91\x0d\x0a
READ > PTB330A_U4430842|P=1004.49|P1=1004.49|P2=1004.48|P3=1004.47|TP1= 26.01|TP2= 25.87|TP3= 25.90|ERR=000|CS=98\x0d\x0a
READ > PTB330A_U4430842|P=1004.48|P1=1004.48|P2=1004.48|P3=1004.47|TP1= 26.00|TP2= 25.88|TP3= 25.90|ERR=000|CS=96\x0d\x0a
READ > PTB330A_U4430842|P=1004.48|P1=1004.48|P2=1004.47|P3=1004.46|TP1= 26.00|TP2= 25.88|TP3= 25.90|ERR=000|CS=94\x0d\x0a
READ > PTB330A_U4430842|P=1004.48|P1=1004.49|P2=1004.49|P3=1004.47|TP1= 26.00|TP2= 25.87|TP3= 25.90|ERR=000|CS=97\x0d\x0a
READ > PTB330A_U4430842|P=1004.48|P1=1004.48|P2=1004.48|P3=1004.46|TP1= 26.01|TP2= 25.86|TP3= 25.89|ERR=000|CS=9C\x0d\x0a
READ > PTB330A_U4430842|P=1004.48|P1=1004.50|P2=1004.50|P3=1004.48|TP1= 26.01|TP2= 25.87|TP3= 25.90|ERR=000|CS=89\x0d\x0a
READ > PTB330A_U4430842|P=1004.48|P1=1004.51|P2=1004.50|P3=1004.49|TP1= 26.01|TP2= 25.87|TP3= 25.90|ERR=000|CS=8B\x0d\x0a
